,time,BlkCnt,CapMrktCurUSD,DiffMean,FeeMeanUSD,FlowInExUSD,HashRate,NDF,ROI30d
454,2016-10-26,6096,981190141.017743,104783609727773.0,0.0089821423777478,3050043.10557391,7.39330772595042,0.802593068683,-10.6366227122762
455,2016-10-27,6018,980001528.691982,104658825475371.0,0.0086275030714384,2485162.76372101,7.29456095732958,0.802348225548,-12.3849669913855
456,2016-10-28,5943,950669027.084005,101735271147640.0,0.0096194796342067,2192646.24627696,7.00216583838294,0.802378839448,-16.4433410011819
457,2016-10-29,5668,889894991.634998,85036314589228.0,0.0080999968269776,4183278.68297174,5.57936362220575,0.802791878997,-20.7115940962445
458,2016-10-30,6059,960599887.765264,76369898449175.8,0.008716657876282,8178810.60213022,5.35497991579595,0.803402753875,-15.258184240177
459,2016-10-31,6092,938764718.561843,81664327622895.8,0.0081453656235357,2091759.86690857,5.75827905434007,0.804557091031,-17.0760853197459
460,2016-11-01,5839,924574526.147076,73350829771605.1,0.0090806262182491,3987025.44694622,4.95742236868061,0.806071802877,-18.6447917989778
461,2016-11-02,5952,927211411.31486,64719068491400.3,0.0072687438818117,1235861.21445009,4.45994692427073,0.805819052536,-19.750702617634
462,2016-11-03,5950,930527265.864877,61514730699689.4,0.0076238440750901,2101715.99023982,4.23696765039715,0.805621149574,-18.4389050395893
463,2016-11-04,5904,955301063.312414,57159503514602.3,0.0074315765019387,838665.325018462,3.90623248103334,0.804928922689,-14.7458526522023
464,2016-11-05,5996,954651306.844639,53005065702771.9,0.0072720746170849,879688.665690669,3.67822306592258,0.805549529503,-13.4425637683152
465,2016-11-06,6054,942268590.41715,51646857812065.1,0.0074428833173278,855967.603669791,3.61852015575654,0.805263524967,-13.3685945061098
466,2016-11-07,6315,935926946.114318,58599219756577.8,0.0075553862298371,1705674.21096986,4.28285071817377,0.805645422971,-10.8450733527469
467,2016-11-08,6159,931401242.494717,67264445718749.5,0.0082202781253823,1396621.65853721,4.79553640215409,0.805412652649,-10.1522374480276
468,2016-11-09,5924,914461714.598304,68500747666720.3,0.009202458383714,1794795.25845519,4.69714427782519,0.805546152585,-9.47726188223138
469,2016-11-10,5966,903030075.981139,62531737964000.4,0.0092666362871357,1457891.34512951,4.31760040924705,0.804755689005,-10.5770523557189
