,time,BlkCnt,DiffMean,FeeMeanUSD,FlowInExUSD,HashRate,NDF,PriceUSD,ROI30d
1360,-0.82010996,0.11428571428571428,6.658094656243789e-08,0.00019421673320050938,2.7151400856379304e-05,6.252158233124149e-08,0.402810685901,12.11358871654,0.4837175111267228
1361,-0.8194397,-0.41904761904761906,6.658094656243789e-08,0.00011914929841465739,1.7592637461008076e-05,5.680065322903634e-08,0.401504886778,12.1824053945061,0.5199046605074991
1362,-0.8187694,-0.38095238095238093,6.658094656243789e-08,0.0001226556554196212,1.355078632438359e-05,5.72092910220512e-08,0.401920349453,12.3198168597312,0.4350818213649724
1363,-0.8180991,0.41904761904761906,6.658094656243789e-08,0.00011615056453193471,1.9016817421097758e-05,6.579068467535864e-08,0.401912208807,12.3187514018118,0.4233246211469548
1364,-0.81742877,0.3047619047619048,6.658094656243789e-08,0.00035396930570269654,1.7215268544803013e-05,6.456477129631464e-08,0.400937493726,12.3814573892461,0.4658267191855881
1365,-0.8167585,0.6857142857142857,6.658094656243789e-08,0.00012663888369329247,1.09531574720945e-05,6.865114922646121e-08,0.402583861013,12.4047515055523,0.5236505589048543
1366,-0.8160882,0.34285714285714286,6.658094656243789e-08,0.00011095544879942466,1.093147897427948e-05,6.49734090893295e-08,0.403039795574,12.3916224728229,0.7620867820846404
1367,-0.8154179,-0.7238095238095238,6.658094656243789e-08,0.00013943737959293612,2.607060744555414e-05,5.353155088491919e-08,0.402409685879,12.3893951601403,0.8012059308697393
1368,-0.8147476,-0.1523809523809524,6.658094656243789e-08,0.00019386029557376326,3.4672720588099514e-05,5.966111778013893e-08,0.401005521982,12.8072380958504,0.8496358148392383
1369,-0.8140773,-0.6476190476190476,7.077602355038568e-08,0.00014974888669763085,3.915053937833325e-05,5.777319219450344e-08,0.402162697953,12.9554304944477,0.7878270756375816
1370,-0.813407,-0.7238095238095238,7.100908338304938e-08,0.00083161251530661,4.5903469979726175e-05,5.709180413718654e-08,0.402941283978,12.8623857779077,0.8111569650833124
1371,-0.8127367,-0.5333333333333333,7.100908338304938e-08,0.0001601023331325528,2.4810754028649894e-05,5.927088063097221e-08,0.403634389713,12.7522194190532,0.5246182569167
1372,-0.8120664,0.19047619047619047,7.100908338304938e-08,0.0001406669453798468,1.1932905611502454e-05,6.755137130735803e-08,0.403524535317,12.5051297136178,0.40195136869332954
1373,-0.8113961,-0.9523809523809523,7.100908338304938e-08,0.00015047491733403542,3.790109873076862e-05,5.4476912344643734e-08,0.403105995035,11.8739970853302,0.23767619632677514
1374,-0.8107258,1.0666666666666667,7.100908338304938e-08,0.00013755629476978128,2.8194763780539907e-05,7.757512317877239e-08,0.403842914238,11.7333297481005,0.20527934785583768
1375,-0.8100555,-0.3047619047619048,7.100908338304938e-08,0.0001421659685609766,1.7472410310363012e-05,6.1885772423515e-08,0.406078553981,11.8286634354179,0.2283841083014131
1376,-0.80938524,-0.0380952380952381,7.100908338304938e-08,0.0001484755935723271,2.8657991199920214e-05,6.493647951481523e-08,0.407007065416,12.109188478083,0.29332702333942634
1377,-0.8087149,-0.45714285714285713,7.100908338304938e-08,0.00016414997781118235,2.1271383868520673e-05,6.014251122848646e-08,0.406111396284,12.0675518082992,0.23398935441702232
1378,-0.8080446,-0.0380952380952381,7.100908338304938e-08,0.00014047682506673873,2.3110765763463037e-05,6.493647951481523e-08,0.406963957095,12.0280681648159,0.20699598527612179
1379,-0.8073743,-0.0761904761904762,7.100908338304938e-08,0.00012504075294024415,2.4740447937658157e-05,6.45006642160581e-08,0.40659927508,11.9268038293396,0.1562025740258224
1380,-0.80670404,-0.8761904761904762,7.100908338304938e-08,0.00012139685568692979,1.163023946322606e-05,5.5348542942158e-08,0.406336324473,11.6505779608416,-0.029730226293593013
1381,-0.80603373,0.7238095238095238,7.100908338304938e-08,0.00013688148715055684,1.505927142310044e-05,7.36527854899582e-08,0.405189230823,11.9083095268849,0.04825912728146553
1382,-0.8053634,0.19047619047619047,7.104092801616668e-08,0.00014055885957347185,1.7579650491639136e-05,6.758166529980748e-08,0.407802716083,11.8480180689655,-0.01782813650332437
1383,-0.8046931,-0.3047619047619048,7.142040989414713e-08,0.0004068074511568034,1.7058877929256205e-05,6.224425133416725e-08,0.407702584176,11.9193881607247,-0.0035728288632974805
1384,-0.80402285,0.26666666666666666,7.142040989414713e-08,0.00012213739493034025,2.2932857839045726e-05,6.881934830608622e-08,0.407141382007,11.9259328445354,-0.0990823298900318
1385,-0.80335253,-0.5714285714285714,7.142040989414713e-08,0.0001166462503808557,2.0648115371179596e-05,5.917587274727157e-08,0.406212174323,11.7574857971946,-0.209502870120034
1386,-0.8026822,0.3047619047619048,7.142040989414713e-08,0.00011482833378793867,1.4779715646326427e-05,6.925768810421411e-08,0.406305543005,11.6943775517241,-0.19130293729725284
1387,-0.8020119,0.41904761904761906,7.142040989414713e-08,0.00011473941105041243,1.5349068129611475e-05,7.0572707498598e-08,0.408790593176,11.657411405903,-0.19275286570120662
1388,-0.80134165,0.26666666666666666,7.142040989414713e-08,0.0001142655192884253,3.1963657625587204e-05,6.881934830608622e-08,0.413059758408,11.7410779129164,-0.1380229991427885
1389,-0.80067134,-0.7619047619047619,7.142040989414713e-08,0.000125753119505224,2.9438966778608753e-05,5.6984173756631915e-08,0.41441809644,11.7077817299825,-0.13436936869627167
1390,-0.800001,0.45714285714285713,7.142040989414713e-08,0.00012591582402224648,1.96426070648532e-05,7.101104729672588e-08,0.413436540772,11.6343523869082,-0.14095317933818535
1391,-0.7993307,-0.26666666666666666,7.142040989414713e-08,0.00010981536753620688,3.9375909518206295e-05,6.268259113229513e-08,0.413203015209,10.7536298202805,-0.404642733713872
1392,-0.79866046,0.5714285714285714,7.142040989414713e-08,0.0001413005778358143,2.5127428110785753e-05,7.232606669110949e-08,0.416017230592,10.130619493571,-0.6096207426100332
1393,-0.79799014,0.9523809523809523,7.142040989414713e-08,0.0001318005309592345,1.137378133287679e-05,7.670946467238909e-08,0.414399235378,10.4581862957335,-0.5191614306971606
1394,-0.7973198,0.6095238095238096,7.142040989414713e-08,0.00012812762378926128,8.528347360100446e-06,7.276440648923766e-08,0.414299784929,10.7099620838691,-0.4647565777276518
1395,-0.7966495,0.3047619047619048,7.159110514054669e-08,0.0001411514561860881,1.6267293598515564e-05,6.942321443140187e-08,0.412612325535,10.6307389760374,-0.4919358792189095
1396,-0.79597926,-0.26666666666666666,7.681437968037731e-08,0.00013705816309480875,1.601765480392336e-05,6.741664408986458e-08,0.417521798386,10.8593230584454,-0.42626914986755654
1397,-0.79530895,-0.22857142857142856,7.681437968037731e-08,0.00015359403446941534,1.807732275467488e-05,6.788808915343024e-08,0.418021660424,11.1460718381064,-0.3472089804167311
1398,-0.79463863,-0.49523809523809526,7.681437968037731e-08,0.00015173324018820622,1.5377870622249927e-05,6.458797370847178e-08,0.420801716206,10.6135357510228,-0.5878690881039317
1399,-0.7939684,-0.26666666666666666,7.681437968037731e-08,0.000159063559625941,2.270947076696138e-05,6.741664408986458e-08,0.420239761722,10.5305036388077,-0.6417755121559857
1400,-0.79329807,-0.1523809523809524,7.681437968037731e-08,0.00013862376187604944,1.0429022486545576e-05,6.883097928056097e-08,0.420637664754,10.650747019287,-0.5901086633899643
1401,-0.79262775,0.26666666666666666,7.681437968037731e-08,0.00014409344755144586,2.2159790958490913e-05,7.401687497978149e-08,0.420528742542,10.7968828924605,-0.5269575560930335
1402,-0.79195744,0.38095238095238093,7.681437968037731e-08,0.0001411683799039293,3.432920268979989e-05,7.543121017047788e-08,0.419326167116,10.7408207352425,-0.48540841924334277
1403,-0.7912872,-0.5714285714285714,7.681437968037731e-08,0.00014470558808559332,1.894421862076011e-05,6.364508358134076e-08,0.419765020787,10.8681974991233,-0.2941190110120254
1404,-0.79061687,0.26666666666666666,7.681437968037731e-08,0.0001446890845802385,3.0010836772893586e-05,7.401687497978149e-08,0.417686559449,10.9540989444769,-0.2320497522309833
1405,-0.78994656,0.1523809523809524,7.681437968037731e-08,0.00013780067098646554,2.4501234773016828e-05,7.260253978908508e-08,0.41807787372,10.892699371128,-0.27518953409338687
1406,-0.78927624,0.0761904761904762,7.681437968037731e-08,0.00013987948398338877,2.0411787611546137e-05,7.165964966195406e-08,0.418160305781,10.8158672180012,-0.3690964097490774
1407,-0.788606,-0.22857142857142856,7.681437968037731e-08,0.0001424585177296034,1.4917842329749008e-05,6.788808915343024e-08,0.417166983198,10.8632604430158,-0.3453157766803419
1408,-0.7879357,-0.11428571428571428,7.681437968037731e-08,0.00013166804030634812,2.40281871685024e-05,6.930242434412664e-08,0.417713062945,10.8418406388077,-0.34133188409896287
1409,-0.78726536,-0.6857142857142857,7.726811234451864e-08,0.00013545473217068107,2.0735727652052196e-05,6.259833741988955e-08,0.417051632835,11.0313424552893,-0.26145868821019325
1410,-0.78659505,-0.38095238095238093,7.831169747204419e-08,0.00013790316572778621,1.3879184411942817e-05,6.728887050152751e-08,0.416986999393,10.9980027790766,-0.19676625685871202
1411,-0.7859248,-0.26666666666666666,7.831169747204419e-08,0.00014008562189487007,1.6465298923197168e-05,6.873077486941714e-08,0.416739081565,10.9589524184687,-0.2772098143541051
1412,-0.7852545,-0.5333333333333333,7.831169747204419e-08,0.00015508023728874287,1.2736572922074265e-05,6.536633134434077e-08,0.417807794976,11.1751098585622,-0.19942196087475225
1413,-0.78458416,-0.19047619047619047,7.831169747204419e-08,0.00015503633182779988,3.391887841282789e-05,6.969204444801051e-08,0.417078497162,11.705044829924,-0.06773919545496597
1414,-0.78391385,-0.38095238095238093,7.831169747204419e-08,0.00015101545719890458,1.3922454380022499e-05,6.728887050152751e-08,0.418457366071,11.7500423991818,-0.05676623469589108
1415,-0.7832436,-0.1523809523809524,7.831169747204419e-08,0.00015485441862974706,1.6887346662283395e-05,7.017267923730706e-08,0.416693244791,11.6656310321449,-0.03323327109182534
1416,-0.7825733,-0.1523809523809524,7.831169747204419e-08,0.00014488526019683178,2.3448849161169874e-05,7.017267923730706e-08,0.416147699578,11.7505293506721,0.00956387491700119
1417,-0.78190297,-0.11428571428571428,7.831169747204419e-08,0.0001480981257206906,1.840290662859991e-05,7.06533140266036e-08,0.416400375982,11.6991703167738,0.005426577485334425
1418,-0.78123266,0.0761904761904762,7.831169747204419e-08,0.00015160848949449245,1.6913212823109002e-05,7.305648797308689e-08,0.416513129846,11.7291351759205,-0.010178170088022624
1419,-0.7805624,-0.22857142857142856,7.831169747204419e-08,0.0001438786166033764,4.118977265108496e-05,6.921140965871398e-08,0.416967229732,12.2919979465225,0.1625737297269377
1420,-0.7798921,0.49523809523809526,7.831169747204419e-08,0.00016544609245272988,1.859326192673312e-05,7.834347065534974e-08,0.416668068865,12.2802876195207,0.181640780641104
1421,-0.7792218,0.0380952380952381,7.831169747204419e-08,0.00015151869443601738,1.6706076561889423e-05,7.257585318379034e-08,0.415917007253,12.4132043997662,0.5168754555019687
1422,-0.7785515,-0.1523809523809524,7.831169747204419e-08,0.00016582885445867458,1.1861920663911455e-05,7.017267923730706e-08,0.416778534794,12.5296894897721,0.7967379253037606
1423,-0.7778812,0.26666666666666666,7.914254820685481e-08,0.0001487249206379734,2.208335933428703e-05,7.626025388192439e-08,0.412436489357,12.1846262399182,0.5533594799897184
1424,-0.7772109,-0.0761904761904762,7.994224203910997e-08,0.0006034847647884584,3.0803238718050694e-05,7.261504394625565e-08,0.417422950431,12.1592753845704,0.4524015696430174
1425,-0.7765406,0.8380952380952381,7.994224203910997e-08,0.00023587810875586943,2.0553125062894056e-05,8.43904564780811e-08,0.418215981742,12.3316598270018,0.5361239919589623
1426,-0.7758703,0.6095238095238096,7.994224203910997e-08,0.00016312022196693105,2.744649273794697e-05,8.144660334512466e-08,0.418426738626,12.4976616534191,0.5051444302183655
1427,-0.7752,-0.9523809523809523,7.994224203910997e-08,0.00015745113345264533,2.3436035183037162e-05,6.133027360325637e-08,0.418425482753,12.5861389275278,0.43162284488580654
1428,-0.7745297,0.6476190476190476,7.994224203910997e-08,0.0001635423407883899,1.291807375927564e-05,8.193724553395083e-08,0.418424354235,12.5923868702513,0.6258494630042607
1429,-0.7738594,-0.26666666666666666,7.994224203910997e-08,0.0001535278593819354,1.3442668175479228e-05,7.016183300212538e-08,0.418487445177,12.4979447565751,0.627161095808779
